NCM,PARAMETRIZAÇÃO
29339134,4202
29339139,4202
29339141,4202
29339142,4202
29339143,4202
29339149,4202
29339151,4202
29339152,4202
29339153,4202
29339159,4202
29339161,4202
29339162,4202
29339163,4202
29339164,4202
29339169,4202
29339171,4202
29339172,4202
29339173,4202
29339179,4202
29339181,4202
29339182,4202
29339183,4202
29339189,4202
29339911,4202
29339912,4202
29339913,4202
29339919,4202
29339920,4202
41015010,4202
41015020,4202
41015030,4202
41019010,4202
41019020,4202
41019030,4202
41021000,4202
41022100,4202
41022900,4202
41032000,4202
41033000,4202
41039000,4202
41041111,4202
41041112,4202
41041113,4202
41041114,4202
41041119,4202
41041121,4202
41041122,4202
41041123,4202
41041124,4202
41041129,4202
41041910,4202
41041920,4202
41041930,4202
41041940,4202
41041990,4202
41044110,4202
41044120,4202
41044130,4202
41044190,4202
41044910,4202
41044920,4202
41044990,4202
41051010,4202
41051021,4202
41051029,4202
41051090,4202
41053000,4202
41062110,4202
41062121,4202
41062129,4202
41062190,4202
41062200,4202
41063110,4202
41063190,4202
41063200,4202
41064000,4202
41069100,4202
41069200,4202
41071110,4202
41071120,4202
41071190,4202
41071210,4202
41071220,4202
41071290,4202
41071910,4202
41071920,4202
41071990,4202
41079110,4202
41079190,4202
41079210,4202
41079290,4202
41079910,4202
41079990,4202
41120000,4202
41131010,4202
41131090,4202
41132000,4202
41133000,4202
41139000,4202
41141000,4202
41142010,4202
41142020,4202
41151000,4202
41152000,4202
42010010,4202
42010090,4202
42021100,4202
42021210,4202
42021220,4202
42021900,4202
42022100,4202
42022210,4202
42022220,4202
42022900,4202
42023100,4202
42023200,4202
42023900,4202
42029100,4202
42029200,4202
42029900,4202
42031000,4202
42032100,4202
42032900,4202
42033000,4202
42034000,4202
42050000,4202
42060000,4202
43011000,4202
43013000,4202
43016000,4202
43018000,4202
43019000,4202
43021100,4202
43021910,4202
43021990,4202
43022000,4202
43023000,4202
43031000,4202
43039000,4202
43040000,4202
44011000,4202
44012100,4202
44012200,4202
44013100,4202
44013900,4202
44021000,4202
44029000,4202
44031000,4202
72193300,4202
72193400,4202
72193500,4202
72199010,4202
72199090,4202
72201100,4202
72201210,4202
72201220,4202
72201290,4202
72202010,4202
72202090,4202
72209000,4202
72210000,4202
72221100,4202
72221910,4202
72221990,4202
72222000,4202
72223000,4202
72224010,4202
72224090,4202
72230000,4202
72241000,4202
72249000,4202
72251100,4202
72251900,4202
72253000,4202
73181200,4202
73181300,4202
7104000,4202
7108000,4202
7109000,4202
7112010,4202
7112020,4202
7112090,4202
7114000,4202
7115100,4202
7115900,4202
7119000,4202
7122000,4003
7123100,4202
7123200,4202
7123300,4202
7123900,4202
7129010,4202
7129090,4202
7131010,4003
7131090,4202
7132090,4202
7133190,4201
7133290,4201
7133311,4201
7133319,4201
7133329,4201
7133399,4201
7133490,4001
7133590,4201
7133990,4201
7134010,4202
7134090,4202
7135090,4202
7136090,4202
7139090,4202
7141000,4202
7142000,4003
7143000,4003
7144000,4202
7145000,4202
7149000,4003
8011110,4202
90189061,     
90189069,4202
30042079,4322
30042099,4322
30043210,4322
30043220,4322
30043999,4322
30043939,4322
30043919,4322
30043929,4322
38229000,4202
85352100,4358
8025100,4202
8025200,4202
8026100,4202
8026200,4202
8027000,4202
8028000,4202
8029000,4202
85352900,4358
85354010,4358
8041010,4003
8041020,4202
85354090,4358
85359000,4358
91070010,4358
91070090,4358
8093020,4003
8109000,4202
8111000,4202
8112000,4202
8119000,4202
8121000,4202
8129000,4202
8131000,4202
8132010,4202
8132020,4202
8133000,4202
8134010,4202
8134090,4202
8135000,4202
8140000,4202
9011110,4202
9011190,4202
9011200,4202
9012100,4202
9012200,4202
9019000,4202
9021000,4202
9022000,4202
9023000,4202
9024000,4202
9030010,4202
9030090,4202
9041100,4202
9041200,4202
9042100,4202
9042200,4202
9051000,4202
9052000,4202
9061100,4202
9061900,4202
9062000,4202
9071000,4202
9072000,4202
9081100,4202
9081200,4202
9082100,4202
9082200,4202
9083100,4202
9083200,4202
9092100,4202
29339931,4202
29339932,4202
29339933,4202
29339934,4202
29339935,4202
29339939,4202
29339941,4202
29339942,4202
29339943,4202
29339944,4202
29339945,4202
29339946,4202
29339947,4202
29339949,4202
29339951,4202
29339952,4202
29339953,4202
29339954,4202
29339955,4202
29339956,4202
29339959,4202
29339961,4202
29339962,4202
29339963,4202
29339969,4202
29339991,4202
29339992,4202
29339993,4202
29339995,4202
29339996,4202
29339999,4202
29341010,4202
29341020,4202
29341030,4202
29341090,4202
29342010,4202
